Name,Sex,Age,Height,Colour,Buy_Hour
Katti,F,1,40,Sub-Saharan Africa,7
Adoree,F,18,35,Latin America and the Caribbean,1
Hoebart,M,22,10,Latin America and the Caribbean,10
Paolina,F,18,17,Western Europe,17
Nara,F,22,7,Western Europe,14
Kristen,F,30,26,Micronesia,16
Laurice,F,39,7,Southern Asia,20
Berton,M,22,2,Micronesia,3
Karlene,F,3,32,Northern Europe,12
Sanford,M,18,31,Latin America and the Caribbean,23
Brade,M,10,20,Sub-Saharan Africa,20
Idell,F,7,38,Latin America and the Caribbean,8
Maxim,M,36,22,Northern Africa,12
Margit,F,19,24,Polynesia,21
Ricardo,M,23,15,Northern Europe,3
Jordon,M,40,41,Australia and New Zealand,2
Celinka,F,35,23,Sub-Saharan Africa,6
Jacobo,M,28,16,Australia and New Zealand,9
Bryce,M,3,12,Southern Europe,11
Lida,F,11,22,Latin America and the Caribbean,7
Katheryn,F,26,23,Polynesia,13
Urbanus,M,4,36,Sub-Saharan Africa,5
Mufinella,F,14,35,South-eastern Asia,11
Agata,F,13,19,Latin America and the Caribbean,12
Dode,F,6,25,Sub-Saharan Africa,17
Jody,M,22,29,Sub-Saharan Africa,13
Faustina,F,21,28,Western Asia,5
Cris,M,17,17,Sub-Saharan Africa,17
Percival,M,5,33,Polynesia,19
Saw,M,12,26,Latin America and the Caribbean,1
Wendeline,F,33,31,Latin America and the Caribbean,18
Gerrard,M,30,1,Southern Asia,12
Nerissa,F,19,24,Northern Europe,9
Britney,F,39,42,Eastern Europe,14
Wylie,M,39,9,Western Asia,14
Kenneth,M,6,2,Western Asia,5
Cliff,M,40,9,Latin America and the Caribbean,11
Gilemette,F,0,29,Sub-Saharan Africa,9
Bret,M,9,34,South-eastern Asia,8
Ginger,F,35,35,Western Europe,-1
Vinnie,M,10,38,Latin America and the Caribbean,13
Opaline,F,36,32,Latin America and the Caribbean,11
Norton,M,29,19,Sub-Saharan Africa,12
Ewen,M,15,3,Western Europe,6
Brina,F,4,13,Sub-Saharan Africa,12
Lauralee,F,30,21,Sub-Saharan Africa,13
Beverlie,F,13,13,Sub-Saharan Africa,23
Gerardo,M,25,24,Polynesia,16
Nathalia,F,27,7,Latin America and the Caribbean,11
Ronica,F,15,41,Eastern Asia,8
Fenelia,F,29,9,Latin America and the Caribbean,-1
Mirabella,F,16,35,Western Europe,16
Miof mela,F,5,22,South-eastern Asia,32
Kyrstin,F,35,2,Latin America and the Caribbean,12
Noellyn,F,13,11,Northern Africa,9
Thorin,M,41,13,Polynesia,12
Averyl,F,36,18,Sub-Saharan Africa,19
Benedict,M,32,32,Latin America and the Caribbean,15
Ruben,M,1,17,Latin America and the Caribbean,22
Griswold,M,24,18,Southern Europe,12
Courtney,M,8,1,Sub-Saharan Africa,18
Freddy,M,28,10,Sub-Saharan Africa,25
Pembroke,M,13,17,Sub-Saharan Africa,14
Shelagh,F,19,4,Polynesia,13
Fabian,M,2,3,Southern Asia,2
Terry,M,11,35,South-eastern Asia,10
Page,M,3,13,Sub-Saharan Africa,12
Josee,F,40,12,Southern Europe,1
Amberly,F,2,12,Latin America and the Caribbean,12
Malchy,M,0,36,Southern Europe,7
Shanda,F,16,15,Sub-Saharan Africa,19
Evy,F,11,17,Australia and New Zealand,21
Ree,F,29,39,Polynesia,12
Manolo,M,23,31,South-eastern Asia,1
Fowler,M,1,21,Latin America and the Caribbean,4
Harlene,F,15,31,Sub-Saharan Africa,1
Miranda,F,16,19,Latin America and the Caribbean,16
Teressa,F,11,11,Southern Asia,10
Roosevelt,M,5,38,Central Asia,4
Alfredo,M,19,20,Latin America and the Caribbean,5
Sisely,F,37,30,Melanesia,23
Tallulah,F,19,4,Eastern Europe,17
Inga,F,4,31,Northern Africa,13
Elyn,F,20,41,Northern America,-4
Mariana,F,17,23,Southern Europe,22
Hans,M,7,38,Western Europe,11
Giuditta,F,35,18,Western Europe,15
Harris,M,11,13,Sub-Saharan Africa,21
Ev,M,12,7,Eastern Europe,10
Todd,M,5,12,Latin America and the Caribbean,17
Shaun,M,11,37,South-eastern Asia,11
Valentino,M,18,22,Sub-Saharan Africa,22
Wesley,M,15,8,Latin America and the Caribbean,10
Orbadiah,M,41,37,Sub-Saharan Africa,8
Muffin,M,17,21,Latin America and the Caribbean,4
Colan,M,27,4,Western Asia,31
Svend,M,28,28,Eastern Asia,7
Garik,M,40,27,Western Asia,17
Mickie,M,0,13,Latin America and the Caribbean,26
Anjanette,F,35,36,South-eastern Asia,29
Hashim,M,0,2,Eastern Asia,9
Virgie,F,1,0,Northern America,10
Ax,M,34,18,Western Asia,15
Beau,M,31,36,Northern Europe,11
Guillemette,F,30,38,Southern Europe,11
Bart,M,11,20,Southern Europe,21
Siusan,F,18,2,Northern Africa,21
Carolin,F,19,32,Polynesia,21
Kelly,F,8,12,Eastern Europe,26
Weylin,M,31,10,Polynesia,5
Rhodie,F,38,2,Sub-Saharan Africa,10
Krishna,M,0,31,Sub-Saharan Africa,18
Gabi,M,38,37,Latin America and the Caribbean,14
Tootsie,F,27,18,Melanesia,16
Hamid,M,7,30,Micronesia,7
Crissy,F,34,1,Latin America and the Caribbean,2
Raychel,F,38,16,Latin America and the Caribbean,28
Denver,M,39,26,Micronesia,13
Kingsly,M,15,13,Sub-Saharan Africa,9
Krista,F,18,23,Northern Europe,15
Adriane,F,28,37,Sub-Saharan Africa,21
Dwayne,M,12,32,Western Asia,14
Vitia,F,26,31,Western Asia,13
Thorn,M,8,9,Northern America,11
Shandra,F,15,14,Latin America and the Caribbean,17
Julio,M,25,24,Latin America and the Caribbean,11
Ardeen,F,38,32,Southern Europe,14
Renee,F,36,41,Western Asia,20
Madelon,F,11,35,Central Asia,21
Carlye,F,35,18,Western Asia,10
Nada,F,26,8,Latin America and the Caribbean,8
Jemmy,F,6,15,Southern Europe,9
Erie,M,8,18,Latin America and the Caribbean,13
Sylas,M,16,31,Southern Europe,13
Dannie,F,34,15,Eastern Europe,27
Myron,M,23,3,Southern Europe,15
Stearne,M,19,13,Central Asia,13
Jackson,M,31,30,Latin America and the Caribbean,4
Cly,M,20,11,Northern Africa,11
Skip,M,17,31,Latin America and the Caribbean,15
Carmon,F,41,32,Latin America and the Caribbean,20
Chancey,M,33,1,South-eastern Asia,12
Barrett,M,30,5,South-eastern Asia,14
Siouxie,F,30,11,Sub-Saharan Africa,13
Kailey,F,17,8,Latin America and the Caribbean,24
Keven,M,10,34,Northern America,18
Renaldo,M,38,39,Latin America and the Caribbean,23
Clevie,M,1,40,Northern Europe,14
Dall,M,40,19,Northern Europe,2
Emmalynn,F,32,15,South-eastern Asia,15
Tam,M,8,10,Sub-Saharan Africa,4
Judas,M,11,25,Latin America and the Caribbean,23
Bearnard,M,30,38,Latin America and the Caribbean,20
Charmain,F,32,15,Northern Europe,4
Cheston,M,11,6,South-eastern Asia,6
Beryl,F,29,33,Latin America and the Caribbean,12
Wakefield,M,37,30,Western Asia,23
Susy,F,6,40,Sub-Saharan Africa,9
Tawnya,F,9,24,Central Asia,7
Nannie,F,41,24,Southern Europe,7
Dorelle,F,21,2,Latin America and the Caribbean,10
Gill,F,36,12,Sub-Saharan Africa,17
Marjy,F,4,7,Southern Europe,15
Juliane,F,7,1,Southern Europe,17
